Year,School
2025,Akron
2025,Alabama
2025,Alabama St.
2025,Arizona
2025,Arkansas
2025,Auburn
2025,Baylor
2025,BYU
2025,Bryant
2025,Clemson
2025,Colorado St.
2025,Connecticut
2025,Creighton
2025,Drake
2025,Duke
2025,Florida
2025,Georgia
2025,Gonzaga
2025,Grand Canyon
2025,High Point
2025,Houston
2025,Illinois
2025,Iowa St.
2025,Kansas
2025,Kentucky
2025,Liberty
2025,Lipscomb
2025,Louisville
2025,Marquette
2025,Maryland
2025,McNeese St.
2025,Memphis
2025,Michigan
2025,Michigan St.
2025,Mississippi
2025,Mississippi St.
2025,Missouri
2025,Montana
2025,Mount St. Mary's
2025,Nebraska Omaha
2025,New Mexico
2025,North Carolina
2025,Norfolk St.
2025,Oklahoma
2025,Oregon
2025,Purdue
2025,Robert Morris
2025,Saint Mary's
2025,SIU Edwardsville
2025,St. John's
2025,Tennessee
2025,Texas A&M
2025,Texas Tech
2025,Troy
2025,UC San Diego
2025,UCLA
2025,UNC Wilmington
2025,Utah St.
2025,VCU
2025,Vanderbilt
2025,Wisconsin
2025,Wofford
2025,Xavier
2025,Yale
