,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Totals,,,,,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,32,16,16,0.5,-5.84,-2.39,,8,8,,10,5,,5,10,,70.6,70.3,,40.3,25.6,57.7,0.444,4.56,15.1,0.302,14.9,20.8,0.715,11.1,33.8,13.2,10.3,2.94,14.9,20.9
2,Air Force,32,4,28,0.125,-8.07,3.65,,1,19,,3,13,,0,14,,61.9,73.7,,40.3,21.3,50.5,0.421,8.09,24.5,0.331,11.3,17.9,0.635,7.38,29.9,13.4,5.66,2.84,13.5,17.8
3,Akron ,35,28,7,0.8,3.22,-3.75,,17,1,,16,0,,8,4,,84,75.1,,40.1,30.3,64.6,0.469,10.7,29.7,0.362,12.7,16.9,0.754,11.8,38.5,17.7,7.63,3.74,11.8,17.8
4,Alabama ,37,28,9,0.757,25.54,16.14,,13,5,,12,3,,9,3,,90.7,81.3,,40.3,31,64.1,0.484,10.5,29.8,0.353,18.1,25.2,0.72,12.4,42.4,17.2,6.16,4.51,12.7,18.9
5,Alabama A&M,32,10,22,0.313,-20.52,-9.93,,6,12,,8,9,,2,12,,73,78.8,,40.6,24.8,61.4,0.404,8.03,25.2,0.318,15.3,23.1,0.664,14,36.6,13.5,8.31,4.09,16,21.5
6,Alabama State ,36,20,16,0.556,-8.99,-8.19,,12,6,,8,3,,6,10,,73.1,72.4,,40.1,25.8,63.6,0.405,8.89,27.2,0.327,12.7,18.5,0.686,11.6,36.2,11.6,7.92,2.81,9.08,18.4
7,Albany (NY),33,17,16,0.515,-9.75,-8.55,,8,8,,7,7,,8,8,,74.6,73.8,,40.5,27.3,61.9,0.441,7.21,22.3,0.323,12.8,17.9,0.716,11.9,33.8,12.5,8.27,2.33,10.8,17.4
8,Alcorn State,32,11,21,0.344,-14.06,-6.96,,11,7,,6,3,,5,17,,65,72.1,,40.2,23.6,57.3,0.411,5.34,16.8,0.318,12.6,17.5,0.717,11.8,34,10.3,6.59,2.69,13.1,17
9,American ,35,22,13,0.629,-7.64,-6.85,,13,5,,14,2,,5,10,,68.7,67.7,,40.6,24,54.1,0.444,8.54,24.5,0.348,12.2,16.2,0.754,7.71,30.2,12.6,6.54,1.89,11.1,17.9
10,Appalachian State,31,17,14,0.548,-2.59,-3.83,,10,8,,10,4,,5,8,,67.8,63.5,,40.2,23.8,54.6,0.436,7.74,22.5,0.344,12.5,19.1,0.651,9.81,36.9,12.5,5.52,3.68,10.8,13.4
11,Arizona ,37,24,13,0.649,22.94,13.72,,14,6,,13,3,,6,5,,82.5,73.3,,40.3,29.1,61.3,0.474,7.19,21.3,0.338,17.1,22,0.78,12.3,39.7,16.2,7.54,4.38,11.4,16.9
12,Arizona State,33,13,20,0.394,10.62,13.32,,4,16,,5,9,,3,8,,74.1,76.8,,40.5,25.2,57.3,0.439,8.7,24.4,0.356,15.1,20.8,0.726,8.76,34,12.8,5.27,4.42,12.5,17
13,Arkansas ,36,22,14,0.611,17.09,11.7,,8,10,,14,4,,4,6,,76.8,71.4,,40.3,27.2,58.8,0.462,7.03,21.5,0.327,15.4,20.9,0.739,9.53,35.6,14.2,7.53,5.61,11.5,16.2
14,Arkansas State,36,25,11,0.694,5.81,-2.4,,13,5,,14,2,,8,6,,79.4,70.2,,40.3,27.4,64.3,0.426,9.42,29,0.325,15.2,20.9,0.727,13.4,40.7,14.3,7.33,4.44,10.4,18.3
15,Arkansas-Pine Bluff,31,6,25,0.194,-24.34,-8.44,,3,15,,4,8,,2,17,,72.3,83.9,,40,26.9,59.3,0.454,7.26,22.5,0.323,11.3,19,0.593,9.87,34,14.6,7.1,2.13,14.5,19
16,Army,33,17,16,0.515,-12.11,-7.3,,10,8,,12,4,,4,11,,73.2,74.9,,40.9,27,61.9,0.437,8.36,26.4,0.317,10.8,15.8,0.681,10.2,35,14.1,6.7,2.18,10,15.6
17,Auburn ,38,32,6,0.842,28.68,15.13,,15,3,,13,2,,8,2,,83,69.4,,40.1,29.4,61.7,0.476,9.03,25.2,0.359,15.2,20.9,0.727,11.8,37.4,16.1,6.87,5.89,9.45,18.5
18,Austin Peay,33,14,19,0.424,-9.57,-3.86,,8,10,,8,5,,4,13,,71.6,74.9,,40.5,25.3,60,0.422,8.48,24.5,0.346,12.4,17.3,0.719,9.88,32.9,12.6,6.94,2.64,9.91,17.8
19,Ball State,31,14,17,0.452,-7.95,-6.49,,7,11,,8,7,,4,9,,75.4,74.2,,40.3,25.2,55.4,0.455,7.13,20.7,0.345,17.8,25.3,0.704,9.42,35.5,13.1,4.97,2.16,11.7,16.4
20,Baylor ,35,20,15,0.571,18.77,13.86,,10,10,,13,3,,3,9,,76.1,69.8,,40.7,27,60.7,0.445,8.4,24.2,0.348,13.7,18.3,0.747,13,35.9,14.4,7.54,2.8,10.8,16.3
21,Bellarmine,31,5,26,0.161,-15.26,-4.88,,2,16,,5,10,,0,16,,72.6,80.1,,40.3,26.3,56.2,0.467,9.06,25,0.362,11.1,14.3,0.773,6.61,29.3,14.2,6.35,1.71,12,16.8
22,Belmont,33,22,11,0.667,1.94,-0.12,,13,7,,11,5,,9,4,,79.3,76.6,,40.2,28.6,61.6,0.465,10.5,27.4,0.383,11.5,16.1,0.719,9.61,34.6,17.2,6.94,3.15,11.2,15.6
23,Bethune-Cookman,33,17,16,0.515,-10.22,-6.7,,13,5,,8,2,,7,12,,68.6,72.2,,40,24.2,56.7,0.428,6.12,19.2,0.319,14,20.3,0.69,10.1,35.6,12.8,6.67,3.67,13.6,16.1
24,Binghamton,32,15,17,0.469,-13.5,-9.12,,7,9,,9,4,,5,12,,69.8,71.5,,40.5,25,54.2,0.461,7.09,19.8,0.359,12.6,18.2,0.693,8.88,35.9,13,4.78,3,13.5,16.4
25,Boise State,37,26,11,0.703,13.86,5.75,,14,6,,13,2,,6,5,,75.8,66.9,,40.1,25.9,56,0.463,7.49,23.6,0.317,16.5,21.1,0.78,10.5,36.1,14.5,5.68,2.62,10.9,16
